,
chip_pad,pad_signal,memory_byte_group,bank,vccaux_group,super_logic_region,io_type,nc_part
D14,IO_L11P_T1_SRCC_14,1,14,NA,NA,HR,NA
C14,IO_L11N_T1_SRCC_14,1,14,NA,NA,HR,NA
G11,IO_L12P_T1_MRCC_14,1,14,NA,NA,HR,NA
F11,IO_L12N_T1_MRCC_14,1,14,NA,NA,HR,NA
H11,IO_L13P_T2_MRCC_14,2,14,NA,NA,HR,NA
H12,IO_L13N_T2_MRCC_14,2,14,NA,NA,HR,NA
H13,IO_L14P_T2_SRCC_14,2,14,NA,NA,HR,NA
H14,IO_L14N_T2_SRCC_14,2,14,NA,NA,HR,NA
M13,IO_L15P_T2_DQS_RDWR_B_14,2,14,NA,NA,HR,NA
L14,IO_L15N_T2_DQS_DOUT_CSO_B_14,2,14,NA,NA,HR,NA
L12,IO_L16P_T2_CSI_B_14,2,14,NA,NA,HR,NA
L13,IO_L16N_T2_D31_14,2,14,NA,NA,HR,NA
J11,IO_L17P_T2_D30_14,2,14,NA,NA,HR,NA
J12,IO_L17N_T2_D29_14,2,14,NA,NA,HR,NA
J13,IO_L18P_T2_D28_14,2,14,NA,NA,HR,NA
J14,IO_L18N_T2_D27_14,2,14,NA,NA,HR,NA
K11,IO_L19P_T3_D26_14,3,14,NA,NA,HR,NA
K12,IO_L19N_T3_D25_VREF_14,3,14,NA,NA,HR,NA
M11,IO_L20P_T3_D24_14,3,14,NA,NA,HR,NA
M12,IO_L20N_T3_D23_14,3,14,NA,NA,HR,NA
N14,IO_L21P_T3_DQS_14,3,14,NA,NA,HR,NA
M14,IO_L21N_T3_DQS_D22_14,3,14,NA,NA,HR,NA
P12,IO_L22P_T3_D21_14,3,14,NA,NA,HR,NA
P13,IO_L22N_T3_D20_14,3,14,NA,NA,HR,NA
N10,IO_L23P_T3_D19_14,3,14,NA,NA,HR,NA
N11,IO_L23N_T3_D18_14,3,14,NA,NA,HR,NA
P10,IO_L24P_T3_D17_14,3,14,NA,NA,HR,NA
P11,IO_L24N_T3_D16_14,3,14,NA,NA,HR,NA
M10,IO_25_14,NA,14,NA,NA,HR,NA
B6,IO_0_34,NA,34,NA,NA,HR,NA
D3,IO_L1P_T0_34,0,34,NA,NA,HR,NA
C3,IO_L1N_T0_34,0,34,NA,NA,HR,NA
A4,IO_L2P_T0_34,0,34,NA,NA,HR,NA
A3,IO_L2N_T0_34,0,34,NA,NA,HR,NA
B3,IO_L3P_T0_DQS_34,0,34,NA,NA,HR,NA
A2,IO_L3N_T0_DQS_34,0,34,NA,NA,HR,NA
B5,IO_L4P_T0_34,0,34,NA,NA,HR,NA
A5,IO_L4N_T0_34,0,34,NA,NA,HR,NA
B2,IO_L5P_T0_34,0,34,NA,NA,HR,NA
B1,IO_L5N_T0_34,0,34,NA,NA,HR,NA
C5,IO_L6P_T0_34,0,34,NA,NA,HR,NA
C4,IO_L6N_T0_VREF_34,0,34,NA,NA,HR,NA
E4,IO_L7P_T1_34,1,34,NA,NA,HR,NA
D4,IO_L7N_T1_34,1,34,NA,NA,HR,NA
F3,IO_L8P_T1_34,1,34,NA,NA,HR,NA
F2,IO_L8N_T1_34,1,34,NA,NA,HR,NA
G1,IO_L9P_T1_DQS_34,1,34,NA,NA,HR,NA
F1,IO_L9N_T1_DQS_34,1,34,NA,NA,HR,NA
E2,IO_L10P_T1_34,1,34,NA,NA,HR,NA
D2,IO_L10N_T1_34,1,34,NA,NA,HR,NA
D1,IO_L11P_T1_SRCC_34,1,34,NA,NA,HR,NA
C1,IO_L11N_T1_SRCC_34,1,34,NA,NA,HR,NA
G4,IO_L12P_T1_MRCC_34,1,34,NA,NA,HR,NA
F4,IO_L12N_T1_MRCC_34,1,34,NA,NA,HR,NA
H4,IO_L13P_T2_MRCC_34,2,34,NA,NA,HR,NA
H3,IO_L13N_T2_MRCC_34,2,34,NA,NA,HR,NA
H2,IO_L14P_T2_SRCC_34,2,34,NA,NA,HR,NA
H1,IO_L14N_T2_SRCC_34,2,34,NA,NA,HR,NA
J2,IO_L15P_T2_DQS_34,2,34,NA,NA,HR,NA
J1,IO_L15N_T2_DQS_34,2,34,NA,NA,HR,NA
K4,IO_L16P_T2_34,2,34,NA,NA,HR,NA
K3,IO_L16N_T2_34,2,34,NA,NA,HR,NA
J4,IO_L17P_T2_34,2,34,NA,NA,HR,NA
J3,IO_L17N_T2_34,2,34,NA,NA,HR,NA
M1,IO_L18P_T2_34,2,34,NA,NA,HR,NA
L1,IO_L18N_T2_34,2,34,NA,NA,HR,NA
M3,IO_L19P_T3_34,3,34,NA,NA,HR,NA
M2,IO_L19N_T3_VREF_34,3,34,NA,NA,HR,NA
P2,IO_L20P_T3_34,3,34,NA,NA,HR,NA
N1,IO_L20N_T3_34,3,34,NA,NA,HR,NA
P4,IO_L21P_T3_DQS_34,3,34,NA,NA,HR,NA
P3,IO_L21N_T3_DQS_34,3,34,NA,NA,HR,NA
L3,IO_L22P_T3_34,3,34,NA,NA,HR,NA
L2,IO_L22N_T3_34,3,34,NA,NA,HR,NA
M5,IO_L23P_T3_34,3,34,NA,NA,HR,NA
M4,IO_L23N_T3_34,3,34,NA,NA,HR,NA
P5,IO_L24P_T3_34,3,34,NA,NA,HR,NA
N4,IO_L24N_T3_34,3,34,NA,NA,HR,NA
L5,IO_25_34,NA,34,NA,NA,HR,NA
A1,GND,NA,NA,NA,NA,NA,NA
A6,GND,NA,NA,NA,NA,NA,NA
A9,GND,NA,NA,NA,NA,NA,NA
A11,GND,NA,NA,NA,NA,NA,NA
A14,GND,NA,NA,NA,NA,NA,NA
B4,GND,NA,NA,NA,NA,NA,NA
B7,GND,NA,NA,NA,NA,NA,NA
B9,GND,NA,NA,NA,NA,NA,NA
C2,GND,NA,NA,NA,NA,NA,NA
C6,GND,NA,NA,NA,NA,NA,NA
C7,GND,NA,NA,NA,NA,NA,NA
C8,GND,NA,NA,NA,NA,NA,NA
C9,GND,NA,NA,NA,NA,NA,NA
C13,GND,NA,NA,NA,NA,NA,NA
D5,GND,NA,NA,NA,NA,NA,NA
D7,GND,NA,NA,NA,NA,NA,NA
D9,GND,NA,NA,NA,NA,NA,NA
D11,GND,NA,NA,NA,NA,NA,NA
E1,GND,NA,NA,NA,NA,NA,NA
E3,GND,NA,NA,NA,NA,NA,NA
E6,GND,NA,NA,NA,NA,NA,NA
E8,GND,NA,NA,NA,NA,NA,NA
E10,GND,NA,NA,NA,NA,NA,NA
E14,GND,NA,NA,NA,NA,NA,NA
F5,GND,NA,NA,NA,NA,NA,NA
F9,GND,NA,NA,NA,NA,NA,NA
G3,GND,NA,NA,NA,NA,NA,NA
G6,GND,NA,NA,NA,NA,NA,NA
G10,GND,NA,NA,NA,NA,NA,NA
G12,GND,NA,NA,NA,NA,NA,NA
H5,GND,NA,NA,NA,NA,NA,NA
H9,GND,NA,NA,NA,NA,NA,NA
J6,GND,NA,NA,NA,NA,NA,NA
J10,GND,NA,NA,NA,NA,NA,NA
K1,GND,NA,NA,NA,NA,NA,NA
K5,GND,NA,NA,NA,NA,NA,NA
K7,GND,NA,NA,NA,NA,NA,NA
K9,GND,NA,NA,NA,NA,NA,NA
K14,GND,NA,NA,NA,NA,NA,NA
L4,GND,NA,NA,NA,NA,NA,NA
L6,GND,NA,NA,NA,NA,NA,NA
L8,GND,NA,NA,NA,NA,NA,NA
L10,GND,NA,NA,NA,NA,NA,NA
L11,GND,NA,NA,NA,NA,NA,NA
N3,GND,NA,NA,NA,NA,NA,NA
N5,GND,NA,NA,NA,NA,NA,NA
N9,GND,NA,NA,NA,NA,NA,NA
N12,GND,NA,NA,NA,NA,NA,NA
P1,GND,NA,NA,NA,NA,NA,NA
P14,GND,NA,NA,NA,NA,NA,NA
D6,VCCINT,NA,NA,NA,NA,NA,NA
D8,VCCINT,NA,NA,NA,NA,NA,NA
E7,VCCINT,NA,NA,NA,NA,NA,NA
E9,VCCINT,NA,NA,NA,NA,NA,NA
F6,VCCINT,NA,NA,NA,NA,NA,NA
G9,VCCINT,NA,NA,NA,NA,NA,NA
H6,VCCINT,NA,NA,NA,NA,NA,NA
J9,VCCINT,NA,NA,NA,NA,NA,NA
K6,VCCINT,NA,NA,NA,NA,NA,NA
K8,VCCINT,NA,NA,NA,NA,NA,NA
F10,VCCAUX,NA,NA,NA,NA,NA,NA
H10,VCCAUX,NA,NA,NA,NA,NA,NA
K10,VCCAUX,NA,NA,NA,NA,NA,NA
L9,VCCAUX,NA,NA,NA,NA,NA,NA
N6,VCCO_0,NA,0,NA,NA,NA,NA
N8,VCCO_0,NA,0,NA,NA,NA,NA
G13,VCCO_14,NA,14,NA,NA,NA,NA
K13,VCCO_14,NA,14,NA,NA,NA,NA
N13,VCCO_14,NA,14,NA,NA,NA,NA
G2,VCCO_34,NA,34,NA,NA,NA,NA
K2,VCCO_34,NA,34,NA,NA,NA,NA
N2,VCCO_34,NA,34,NA,NA,NA,NA
E5,VCCBRAM,NA,NA,NA,NA,NA,NA
G5,VCCBRAM,NA,NA,NA,NA,NA,NA
J5,VCCBRAM,NA,NA,NA,NA,NA,NA
